cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
2112	224	non	70	110	3	na
2272	160	non	70	0	3	na
2496	224	non	70	110	3	na
2656	160	non	70	0	3	na
2880	224	non	70	110	3	na
3040	160	non	70	0	3	na
3264	224	non	70	110	3	na
3424	160	non	70	0	3	na
3648	224	non	70	110	3	na
3808	160	non	70	0	3	na
4032	224	non	70	110	3	na
4192	160	non	70	0	3	na
4416	224	non	70	110	3	na
4576	160	non	70	0	3	na
4800	224	non	72	110	3	na
4960	160	non	72	0	3	na
5184	224	non	72	110	3	na
5344	160	non	72	0	3	na
5568	224	non	72	110	3	na
5728	160	non	72	0	3	na
5952	224	non	72	110	3	na
6112	160	non	72	0	3	na
6336	224	non	70	110	3	na
6496	160	non	70	0	3	na
6720	224	non	70	110	3	na
6880	160	non	70	0	3	na
7488	608	non	70	110	3	na
7648	160	non	70	0	3	na
7872	224	non	70	110	3	na
8032	160	non	70	0	3	na
8256	224	non	70	110	3	na
8416	160	non	70	0	3	na
10944	2528	non	70	110	3	na
11280	336	non	70	0	3	na
11328	48	non	69	110	3	na
11664	336	non	69	0	3	na
11712	48	non	67	110	3	na
12048	336	non	67	0	3	na
12096	48	non	67	110	3	na
12432	336	non	67	0	3	na
12480	48	non	63	110	3	na
12816	336	non	63	0	3	na
12864	48	non	63	110	3	na
13200	336	non	63	0	3	na
13248	48	non	65	110	3	na
13584	336	non	65	0	3	na
13632	48	non	69	110	3	na
13968	336	non	69	0	3	na
14016	48	non	70	110	3	na
14352	336	non	70	0	3	na
14400	48	non	70	110	3	na
14736	336	non	70	0	3	na
14784	48	non	69	110	3	na
15120	336	non	69	0	3	na
15168	48	non	65	110	3	na
15504	336	non	65	0	3	na
15552	48	non	63	110	3	na
15888	336	non	63	0	3	na
15936	48	non	63	110	3	na
16272	336	non	63	0	3	na
16320	48	non	63	110	3	na
16656	336	non	63	0	3	na
16704	48	non	65	110	3	na
17040	336	non	65	0	3	na
17088	48	non	65	110	3	na
17808	720	non	65	0	3	na
17856	48	non	72	110	3	na
18192	336	non	72	0	3	na
18240	48	non	74	110	3	na
18576	336	non	74	0	3	na
18624	48	non	70	110	3	na
19344	720	non	70	0	3	na
19392	48	non	67	110	3	na
19728	336	non	67	0	3	na
19776	48	non	70	110	3	na
20112	336	non	70	0	3	na
20160	48	non	74	110	3	na
20254	94	non	74	0	3	na
20256	2	non	72	110	3	na
20350	94	non	72	0	3	na
20352	2	non	70	110	3	na
20446	94	non	70	0	3	na
20448	2	non	69	110	3	na
20542	94	non	69	0	3	na
20544	2	non	67	110	3	na
20704	160	non	67	0	3	na
20736	32	non	70	110	3	na
20896	160	non	70	0	3	na
20928	32	non	77	110	3	na
21022	94	non	77	0	3	na
21024	2	non	75	110	3	na
21118	94	non	75	0	3	na
21120	2	non	75	110	3	na
21280	160	non	75	0	3	na
21504	224	non	65	110	3	na
21664	160	non	65	0	3	na
21696	32	non	70	110	3	na
21856	160	non	70	0	3	na
21888	32	non	70	110	3	na
22048	160	non	70	0	3	na
22080	32	non	67	110	3	na
22240	160	non	67	0	3	na
22272	32	non	70	110	3	na
22432	160	non	70	0	3	na
22464	32	non	69	110	3	na
22624	160	non	69	0	3	na
23424	800	non	70	110	3	na
23760	336	non	70	0	3	na
23808	48	non	72	110	3	na
23968	160	non	72	0	3	na
24000	32	non	70	110	3	na
24094	94	non	70	0	3	na
24096	2	non	69	110	3	na
24190	94	non	69	0	3	na
24192	2	non	70	110	3	na
24286	94	non	70	0	3	na
24288	2	non	72	110	3	na
24382	94	non	72	0	3	na
24384	2	non	74	110	3	na
24720	336	non	74	0	3	na
24768	48	non	70	110	3	na
24862	94	non	70	0	3	na
24864	2	non	69	110	3	na
24958	94	non	69	0	3	na
24960	2	non	70	110	3	na
25296	336	non	70	0	3	na
25344	48	non	72	110	3	na
25680	336	non	72	0	3	na
25728	48	non	72	110	3	na
25888	160	non	72	0	3	na
25920	32	non	70	110	3	na
26080	160	non	70	0	3	na
26112	32	non	69	110	3	na
26272	160	non	69	0	3	na
26304	32	non	70	110	3	na
26464	160	non	70	0	3	na
26496	32	non	72	110	3	na
26832	336	non	72	0	3	na
26880	48	non	65	110	3	na
27216	336	non	65	0	3	na
27264	48	non	65	110	3	na
27984	720	non	65	0	3	na
cumTime	delTime	event	pitch	vel	chan	value
